,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishing status,new airconditionig
0,13300000,7420,100,2,3,yes,no,no,no,yes,2,yes,0,1
1,12250000,8960,100,4,4,yes,no,no,no,yes,3,no,furnished,1
2,12250000,9960,100,2,2,yes,no,yes,no,no,2,yes,semi-furnished,0
3,12215000,7500,100,2,2,yes,no,yes,no,yes,3,yes,furnished,1
4,11410000,7420,100,1,2,yes,yes,yes,no,yes,2,no,furnished,1
5,10850000,7500,100,3,1,yes,no,yes,no,yes,2,yes,semi-furnished,1
6,10150000,8580,100,3,4,yes,no,no,no,yes,2,yes,semi-furnished,1
7,10150000,16200,100,3,2,yes,no,no,no,no,0,no,unfurnished,0
8,9870000,8100,100,1,2,yes,yes,yes,no,yes,2,yes,furnished,1
9,9800000,5750,100,2,4,yes,yes,no,no,yes,1,yes,unfurnished,1
10,9800000,13200,100,1,2,yes,no,yes,no,yes,2,yes,furnished,1
11,9681000,6000,100,3,2,yes,yes,yes,yes,no,2,no,semi-furnished,0
12,9310000,6550,100,2,2,yes,no,no,no,yes,1,yes,semi-furnished,1
13,9240000,3500,100,2,2,yes,no,no,yes,no,2,no,furnished,0
14,9240000,7800,100,2,2,yes,no,no,no,no,0,yes,semi-furnished,0
15,9100000,6000,100,1,2,yes,no,yes,no,no,2,no,semi-furnished,0
16,9100000,6600,100,2,2,yes,yes,yes,no,yes,1,yes,unfurnished,1
17,8960000,8500,100,2,4,yes,no,no,no,yes,2,no,furnished,1
18,8890000,4600,100,2,2,yes,yes,no,no,yes,2,no,furnished,1
19,8855000,6420,100,2,2,yes,no,no,no,yes,1,yes,semi-furnished,1
20,8750000,4320,100,1,2,yes,no,yes,yes,no,2,no,semi-furnished,0
21,8680000,7155,100,2,1,yes,yes,yes,no,yes,2,no,unfurnished,1
22,8645000,8050,100,1,1,yes,yes,yes,no,yes,1,no,furnished,1
23,8645000,4560,100,2,2,yes,yes,yes,no,yes,1,no,furnished,1
24,8575000,8800,100,2,2,yes,no,no,no,yes,2,no,furnished,1
25,8540000,6540,100,2,2,yes,yes,yes,no,yes,2,yes,furnished,1
26,8463000,6000,100,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished,1
27,8400000,8875,100,1,1,yes,no,no,no,no,1,no,semi-furnished,0
28,8400000,7950,100,2,2,yes,no,yes,yes,no,2,no,unfurnished,0
29,8400000,5500,100,2,2,yes,no,yes,no,yes,1,yes,semi-furnished,1
30,8400000,7475,100,2,4,yes,no,no,no,yes,2,no,unfurnished,1
31,8400000,7000,100,1,4,yes,no,no,no,yes,2,no,semi-furnished,1
32,8295000,4880,100,2,2,yes,no,no,no,yes,1,yes,furnished,1
33,8190000,5960,100,3,2,yes,yes,yes,no,no,1,no,unfurnished,0
34,8120000,6840,100,1,2,yes,yes,yes,no,yes,1,no,furnished,1
35,8080940,7000,100,2,4,yes,no,no,no,yes,2,no,furnished,1
36,8043000,7482,100,2,3,yes,no,no,yes,no,1,yes,furnished,0
37,7980000,9000,100,2,4,yes,no,no,no,yes,2,no,furnished,1
38,7962500,6000,100,1,4,yes,yes,no,no,yes,2,no,unfurnished,1
39,7910000,6000,100,2,4,yes,no,no,no,yes,1,no,semi-furnished,1
40,7875000,6550,100,1,2,yes,no,yes,no,yes,0,yes,furnished,1
41,7840000,6360,100,2,4,yes,no,no,no,yes,0,yes,furnished,1
42,7700000,6480,100,2,4,yes,no,no,no,yes,2,no,unfurnished,1
